SUBSCRIPTION_ID;PACKAGE_ID;TIME_STAMP;ACCOUNT_ID;STATUS;START_DATE;END_DATE
11191368132;p-svmobi-gamebar-c-01;05/06/2020 02:14:23;33948610;INACTIVE;05/06/2020 02:12:44;05/06/2020 02:14:23
11188766175;p-svmobi-gamebar-c-01;04/06/2020 19:34:24;43442012;INACTIVE;04/06/2020 19:31:49;04/06/2020 19:34:24
11134198251;p-svmobi-gamebar-c-01;01/06/2020 08:01:41;34617950;INACTIVE;01/06/2020 07:59:20;01/06/2020 08:01:41
11132741025;p-svmobi-gamebar-c-01;01/06/2020 20:10:25;16898624;INACTIVE;01/06/2020 06:07:18;01/06/2020 20:10:25
11072152877;p-svmobi-gamebar-c-01;02/06/2020 10:13:13;40262613;INACTIVE;28/05/2020 05:34:40;02/06/2020 10:13:13
11129898205;p-svmobi-gamebar-c-01;01/06/2020 01:05:08;32919573;INACTIVE;01/06/2020 01:02:21;01/06/2020 01:05:08
11128953224;p-svmobi-gamebar-c-01;31/05/2020 20:40:05;4596975;INACTIVE;31/05/2020 20:38:36;31/05/2020 20:40:05
11129135639;p-svmobi-gamebar-c-01;04/06/2020 09:08:14;18102581;INACTIVE;31/05/2020 21:27:44;04/06/2020 09:08:14
11069235116;p-svmobi-gamebar-c-01;27/05/2020 23:20:45;5870884;INACTIVE;27/05/2020 23:19:55;27/05/2020 23:20:45
10953464788;p-svmobi-gamebar-c-01;19/05/2020 23:24:04;23276147;INACTIVE;19/05/2020 22:38:55;19/05/2020 23:24:04
11069352926;p-svmobi-gamebar-c-01;28/05/2020 01:07:41;35187150;INACTIVE;28/05/2020 00:47:36;28/05/2020 01:07:41
10953468767;p-svmobi-gamebar-c-01;19/05/2020 23:22:47;46960736;INACTIVE;19/05/2020 22:43:40;19/05/2020 23:22:47
11068901412;p-svmobi-gamebar-c-01;02/06/2020 22:02:16;38380667;INACTIVE;27/05/2020 20:49:55;02/06/2020 22:02:16
11069269281;p-svmobi-gamebar-c-01;28/05/2020 00:09:30;4239646;INACTIVE;28/05/2020 00:07:59;28/05/2020 00:09:30
11065598924;p-svmobi-gamebar-c-01;27/05/2020 16:06:33;6810130;INACTIVE;27/05/2020 16:05:33;27/05/2020 16:06:33
11065308636;p-svmobi-gamebar-c-01;27/05/2020 15:33:25;16365921;INACTIVE;27/05/2020 15:32:17;27/05/2020 15:33:25
11125667223;p-svmobi-gamebar-c-01;31/05/2020 16:28:18;49885633;INACTIVE;31/05/2020 16:27:28;31/05/2020 16:28:18
11183054386;p-svmobi-gamebar-c-01;04/06/2020 12:08:30;35605911;INACTIVE;04/06/2020 11:58:13;04/06/2020 12:08:30
11004764907;p-svmobi-gamebar-c-01;28/05/2020 15:00:41;30072197;INACTIVE;23/05/2020 13:51:54;28/05/2020 15:00:41
11066783824;p-svmobi-gamebar-c-01;27/05/2020 18:09:31;20185621;INACTIVE;27/05/2020 18:08:56;27/05/2020 18:09:31
11113878212;p-svmobi-gamebar-c-01;31/05/2020 08:47:56;19581523;INACTIVE;30/05/2020 22:09:49;31/05/2020 08:47:56
