SUBSCRIPTION_ID;PACKAGE_ID;TIME_STAMP;ACCOUNT_ID;STATUS;START_DATE;END_DATE
5428017475;p-svmobi-beautytips-c-01;20/02/2020 01:48:07;7307726;INACTIVE;28/04/2019 07:21:47;04/02/2020 23:59:59
6513759528;p-svmobi-beautytips-c-01;11/02/2020 06:45:31;23029699;INACTIVE;27/07/2019 07:47:25;11/02/2020 06:45:31
5472763074;p-svmobi-beautytips-c-01;12/02/2020 15:29:35;10012646;INACTIVE;01/05/2019 22:43:15;12/02/2020 15:29:35
5460961899;p-svmobi-beautytips-c-01;15/02/2020 10:37:46;8673208;INACTIVE;30/04/2019 23:15:58;15/02/2020 10:37:46
5411757799;p-svmobi-beautytips-c-01;21/02/2020 09:56:17;42831795;INACTIVE;26/04/2019 19:32:05;21/02/2020 09:56:17
4931516582;p-svmobi-beautytips-c-01;27/02/2020 02:06:45;4948234;INACTIVE;15/03/2019 09:06:07;11/02/2020 23:59:59
5516406106;p-svmobi-beautytips-c-01;27/02/2020 02:06:50;13323487;INACTIVE;05/05/2019 15:40:28;11/02/2020 23:59:59
5411637417;p-svmobi-beautytips-c-01;24/02/2020 07:40:09;22309266;INACTIVE;26/04/2019 19:19:44;24/02/2020 07:40:09
9374772692;p-svmobi-beautytips-c-01;24/02/2020 04:51:22;48935534;INACTIVE;05/02/2020 09:41:49;08/02/2020 23:59:59
9584286511;p-svmobi-gamebar-c-01;20/02/2020 15:10:51;48993346;INACTIVE;20/02/2020 15:09:59;20/02/2020 15:10:51
9598011823;p-svmobi-gamebar-c-01;21/02/2020 12:18:01;43294088;INACTIVE;21/02/2020 12:17:28;21/02/2020 12:18:01
9567032344;p-svmobi-gamebar-c-01;20/02/2020 13:30:20;47968724;INACTIVE;19/02/2020 13:13:21;20/02/2020 13:30:20
9567250395;p-svmobi-gamebar-c-01;02/03/2020 11:14:51;48927253;INACTIVE;19/02/2020 13:28:08;02/03/2020 11:14:51
8322551299;p-svmobi-worldforher-c-01;03/03/2020 02:31:00;47881064;INACTIVE;22/11/2019 15:33:01;16/02/2020 23:59:59
